Location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
18,39.824,35.198,49.984,44.821,15.436,59.569,32.605,11.815,39.824,58.236,52.387,31.604,42.497,34.16,74.455,52.229,47.38,43.414,0,9.151,13.665,41.837,5.02,32.584,7.585,62.016,45.013,58.29,8.258,46.912,82.296,51.198,41.769,29.831,58.522,26.56,36.602,35.094,59.899,54.541,30.552
19,39.386,38.356,51.55,47.979,16.256,62.727,35.821,9.927,39.386,61.394,55.798,34.82,45.655,37.318,77.613,55.64,50.538,46.572,7.709,0,20.049,44.995,8.855,35.8,10.926,65.174,48.171,61.448,15.239,50.07,85.454,54.609,44.927,35,61.68,29.718,39.76,38.252,63.057,57.699,28.889
20,26.439,23.077,36.271,32.7,13.559,47.448,17.267,13.02,26.439,46.115,40.519,16.266,30.376,22.039,62.334,40.361,35.259,31.293,14.424,20.953,0,29.716,15.921,17.246,16.742,49.895,32.892,46.169,14.261,34.791,70.175,39.33,29.648,16.446,46.401,16.956,24.481,22.973,47.778,45.211,10.335
21,44.388,13.53,16.558,4.711,37.751,22.554,28.498,43.675,44.388,21.221,13.847,28.416,2.188,16.108,37.44,13.689,4.976,4.52,40.986,45.304,28.96,0,40.272,28.477,41.093,25.001,3.451,21.275,38.612,9.897,45.281,19.617,0.068,32.415,21.507,17.402,10.288,13.426,22.884,20.317,30.82
22,46.225,34.428,47.622,44.051,15.433,58.799,31.893,13.555,46.225,57.466,51.87,30.892,41.727,33.39,73.685,51.712,46.61,42.644,4.033,9.115,16.121,41.067,0,31.872,2.706,61.246,44.243,57.52,5.731,46.142,81.526,50.681,40.999,32.814,57.752,25.79,35.832,34.324,59.129,53.771,24.961
23,17.506,26.952,20.334,34.071,19.431,43.042,0.021,25.355,17.506,41.709,22.737,2.513,32.55,32.52,61.627,22.579,36.619,28.444,30.693,35.02,16.445,31.929,29.988,0,30.809,45.635,34.263,41.763,28.328,33.314,60.066,21.548,31.861,5.533,45.688,27.437,34.962,26.867,43.372,44.56,8.625
24,46.711,35.332,48.526,44.955,16.185,59.703,35.686,14.953,46.711,58.37,52.774,34.685,42.631,34.294,74.589,52.616,47.514,43.548,5.431,10.513,17.025,41.971,2.528,35.665,0,62.15,45.147,58.424,3.77,47.046,82.43,51.585,41.903,32.912,58.656,26.694,36.736,35.228,60.033,54.675,25.865
25,59.041,29.18,30.06,21.034,59.176,19.597,43.151,65.1,59.041,20.152,26.807,43.069,26.876,37.533,17.094,26.649,23.582,21.495,62.411,66.729,50.385,25.384,61.697,43.13,62.518,0,21.226,20.206,60.037,20.277,22.045,29.66,25.316,47.068,17.744,38.827,36.36,34.851,18.522,17.895,45.639
26,46.115,14.893,16.905,0.908,39.114,20.134,29.861,45.038,46.115,18.801,13.652,29.779,5.331,17.471,35.02,13.494,4.653,4.707,42.349,46.667,30.323,3.611,41.635,29.84,42.456,20.922,0,18.855,39.975,5.806,42.861,16.505,3.543,33.778,19.087,18.765,13.458,14.789,20.464,15.264,32.183
27,51.116,30.493,23.509,18.784,54.714,3.097,41.252,60.638,51.116,0.097,20.209,41.17,22.414,33.071,38.127,20.051,21.343,19.596,57.949,62.267,45.923,20.922,57.235,41.231,58.056,19.896,18.976,0,55.575,18.378,25.321,22.309,20.854,45.169,22.831,34.365,31.898,30.389,2.923,28.616,47.783
28,38.621,32.022,45.216,41.645,17.219,56.393,29.449,24.979,38.621,55.06,49.464,28.448,39.321,30.984,71.279,49.306,44.204,40.238,8.045,14.358,13.677,38.661,5.308,29.428,3.718,58.84,41.837,55.114,0,43.736,79.12,48.275,38.593,28.628,55.346,23.384,33.426,31.918,56.723,51.365,22.517
29,45.225,19.008,16.015,4.421,43.229,18.733,31.416,49.153,45.225,17.4,12.762,31.334,10.929,21.586,35.991,12.604,8.039,9.76,46.464,50.782,34.438,9.437,45.75,31.395,46.571,20.032,5.677,17.454,44.09,0,41.46,15.615,9.369,35.333,20.058,22.88,20.413,18.904,19.063,18.868,36.298
30,67.315,54.806,42.127,43.097,79.027,24.984,59.142,84.951,67.315,24.364,41.981,59.739,46.727,57.384,19.934,41.823,45.656,43.909,82.262,86.58,70.236,45.235,81.548,59.121,82.369,24.329,43.289,24.418,79.888,42.691,0,38.965,45.167,61.509,24.944,58.678,56.211,54.702,23.795,27.587,72.096
31,32.495,21.124,5.248,16.086,41.525,21.647,20.9,47.449,32.495,20.314,5.164,21.497,21.341,28.028,48.735,5.006,18.634,13.374,52.787,53.403,37.066,20.72,54.864,20.879,55.237,28.337,16.278,20.368,46.711,15.329,38.671,0,20.652,23.267,28.338,29.322,26.855,21.039,21.977,30.264,27.609
32,44.32,13.462,16.49,4.643,37.683,22.486,28.43,43.607,44.32,21.153,13.779,28.348,2.12,16.04,37.372,13.621,4.908,4.452,40.918,45.236,28.892,0.068,40.204,28.409,41.025,24.933,3.383,21.207,38.544,9.829,45.213,19.549,0,32.347,21.439,17.334,10.22,13.358,22.816,20.249,30.752
33,10.912,28.853,22.235,35.972,19.909,45.274,4.922,25.833,10.912,43.941,24.638,6.258,34.451,33.336,63.528,24.48,38.52,30.345,31.171,35.836,17.261,33.83,33.248,4.901,33.621,47.536,36.164,43.995,29.144,35.215,62.298,23.449,33.762,0,47.589,28.253,35.778,28.768,45.604,46.461,10.331
34,58.759,30.363,29.778,18.654,54.584,19.709,42.869,60.508,58.759,23.256,26.04,42.787,22.284,32.941,19.365,25.882,14,21.213,57.819,62.137,45.793,20.792,57.105,42.848,57.926,18.111,18.846,23.31,55.445,19.995,24.605,29.378,20.724,46.786,0,34.235,31.768,30.259,24.919,3.704,47.653
35,38.509,8.066,24.991,21.42,25.343,36.168,23.811,31.267,38.509,34.835,29.239,23.729,14.124,4.733,51.054,29.081,18.244,20.013,27.053,31.371,16.552,18.436,26.339,23.79,27.16,38.615,21.612,34.889,24.679,23.511,58.895,28.05,18.368,28.516,35.121,0,9.214,7.962,36.498,33.931,18.412
36,46.572,7.705,21.773,18.202,33.406,32.95,29.791,39.33,46.572,31.617,26.021,29.709,9.317,6.805,47.836,25.863,13.437,15.508,37.357,41.675,24.615,11.237,36.643,29.77,37.464,35.397,18.394,31.671,34.983,20.293,55.677,24.832,11.237,36.579,31.903,9.546,0,7.762,33.28,22.999,26.475
37,38.592,0.085,19.459,15.888,32.215,30.636,22.702,38.139,38.592,29.303,15.511,22.62,9.388,6.392,45.522,15.353,18.447,9.711,35.45,39.768,23.424,12.904,34.736,22.681,35.557,33.083,16.08,29.357,33.076,17.979,53.363,22.518,12.836,26.619,29.589,7.625,6.858,0,30.966,28.399,25.284
38,49.469,34.291,24.281,22.582,58.512,6.293,41.296,64.436,49.469,3.831,24.135,41.893,26.212,36.869,41.925,23.977,25.141,23.394,61.747,66.065,49.721,24.72,61.033,41.275,61.854,23.269,22.774,3.885,59.373,22.176,23.672,21.119,24.652,43.663,26.629,38.163,35.696,34.187,0,32.414,51.581
39,58.715,30.319,29.734,18.61,54.54,19.665,42.825,60.464,58.715,26.963,25.996,42.743,15.637,32.897,21.264,25.838,13.018,21.169,54.351,58.669,45.749,20.748,53.637,42.804,54.458,18.067,18.802,27.017,51.977,19.951,26.504,29.334,20.68,46.742,3.661,34.191,22.612,30.215,28.626,0,47.609
40,19.585,26.313,27.222,35.936,18.063,50.684,8.345,23.987,19.585,49.351,29.625,7.344,33.612,25.275,65.57,29.467,38.495,34.529,23.457,27.775,9.2,32.952,22.743,8.324,23.564,53.131,36.128,49.405,21.083,38.027,73.411,28.436,32.884,9.592,49.637,20.192,27.717,26.209,51.014,48.447,0
